Title,Author,ViewCount,UploadTimestamp,Url,Thumbnail
Kubernetes Explained in 100 Seconds,Fireship,735K weergaven,3 jaar geleden,https://www.youtube.com/watch?v=PziYflu8cB8,https://i.ytimg.com/vi/PziYflu8cB8/hq720.jpg
Kubernetes Crash Course for Absolute Beginners [NEW],TechWorld with Nana,"2,2 mln. weergaven",2 jaar geleden,https://www.youtube.com/watch?v=s_o8dwzRlu4,https://i.ytimg.com/vi/s_o8dwzRlu4/hq720.jpg
Kubernetes Tutorial for Beginners [FULL COURSE in 4 Hours],TechWorld with Nana,"7,1 mln. weergaven",3 jaar geleden,https://www.youtube.com/watch?v=X48VuDVv0do,https://i.ytimg.com/vi/X48VuDVv0do/hq720.jpg
Kubernetes Explained in 6 Minutes | k8s Architecture,ByteByteGo,589K weergaven,11 maanden geleden,https://www.youtube.com/watch?v=TlHvYWVUZyc,https://i.ytimg.com/vi/TlHvYWVUZyc/hq720.jpg
you need to learn Kubernetes RIGHT NOW!!,NetworkChuck,1 mln. weergaven,3 jaar geleden,https://www.youtube.com/watch?v=7bA0gTroJjw,https://i.ytimg.com/vi/7bA0gTroJjw/hq720.jpg
